Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
66,11,[10 11 10  9 10],Case: 67 / Pred: 10,Case: 74 / Pred: 11,Case: 75 / Pred: 10,Case: 77 / Pred: 9,Case: 79 / Pred: 10,"[67, 74, 75, 77, 79]","[0.33969331362362665, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665]","Mission: 8.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/3.0 - Counterfactual","Mission: 8.0/2.0, Denial: 8.0/2.0, Risktol: 6.0/3.0 - Non-Counterfactual","Mission: 3.0/2.0, Denial: 4.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 0.0/2.0, Denial: 4.0/2.0, Risktol: 4.0/3.0 - Counterfactual","Mission: 7.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/3.0 - Counterfactual"
67,10,[10 11 11 11 10],Case: 79 / Pred: 10,Case: 74 / Pred: 11,Case: 70 / Pred: 11,Case: 66 / Pred: 11,Case: 75 / Pred: 10,"[79, 74, 70, 66, 75]","[0.34080649255609197, 0.3403081901700035, 0.3399004544545376, 0.33969331362362665, 0.33969331362362665]",Mission: 7.0/8.0 - Non-Counterfactual,Risktol: 6.0/8.0 - Counterfactual,"Mission: 4.0/8.0, Timeurg: 7.0/8.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/8.0, Risktol: 3.0/8.0 - Counterfactual","Mission: 3.0/8.0, Denial: 4.0/8.0, Risktol: 2.0/8.0 - Non-Counterfactual"
68,12,[12 12 12 12 12],Case: 72 / Pred: 12,Case: 64 / Pred: 12,Case: 76 / Pred: 12,Case: 52 / Pred: 12,Case: 48 / Pred: 12,"[72, 64, 76, 52, 48]","[0.3401110392573743, 0.33989070683478784, 0.3387842984711883, 0.322234001614466, 0.3214983755057205]","Mission: 2.0/8.0, Risktol: 4.0/2.0 - Non-Counterfactual","Denial: 7.0/2.0, Risktol: 7.0/2.0 - Non-Counterfactual","Mission: 0.0/8.0, Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 2.0/8.0, Denial: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 3.0/8.0, Denial: 8.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual"
69,9,[ 9  9 11 10 11],Case: 73 / Pred: 9,Case: 65 / Pred: 9,Case: 66 / Pred: 11,Case: 67 / Pred: 10,Case: 70 / Pred: 11,"[73, 65, 66, 67, 70]","[0.33969331362362665, 0.33920314355080317, 0.3387842984711883, 0.3387842984711883, 0.3387842984711883]","Mission: 3.0/6.0, Denial: 6.0/3.0, Risktol: 6.0/7.0 - Non-Counterfactual","Mission: 2.0/6.0, Risktol: 6.0/7.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Mission: 2.0/6.0, Denial: 2.0/3.0, Risktol: 3.0/7.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 8.0/6.0, Denial: 8.0/3.0, Risktol: 8.0/7.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 4.0/6.0, Denial: 8.0/3.0, Risktol: 8.0/7.0, Timeurg: 7.0/3.0 - Counterfactual"
70,11,[10 10  9 11 11],Case: 67 / Pred: 10,Case: 79 / Pred: 10,Case: 65 / Pred: 9,Case: 74 / Pred: 11,Case: 66 / Pred: 11,"[67, 79, 65, 74, 66]","[0.3399004544545376, 0.3399004544545376, 0.33969331362362665, 0.33920314355080317, 0.3387842984711883]","Mission: 8.0/4.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 7.0/4.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 2.0/4.0, Denial: 3.0/8.0, Risktol: 6.0/8.0 - Counterfactual","Mission: 8.0/4.0, Risktol: 6.0/8.0, Timeurg: 8.0/7.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 2.0/8.0, Risktol: 3.0/8.0, Timeurg: 8.0/7.0 - Non-Counterfactual"
71,10,[10 11 11 10 11],Case: 75 / Pred: 10,Case: 78 / Pred: 11,Case: 66 / Pred: 11,Case: 67 / Pred: 10,Case: 74 / Pred: 11,"[75, 78, 66, 67, 74]","[0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736, 0.33898222101264736]","Mission: 3.0/8.0, Denial: 4.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/8.0, Denial: 4.0/2.0, Timeurg: 4.0/2.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 6.0/2.0, Timeurg: 8.0/2.0 - Counterfactual"
72,12,[12 12 12 12 12],Case: 68 / Pred: 12,Case: 64 / Pred: 12,Case: 76 / Pred: 12,Case: 52 / Pred: 12,Case: 48 / Pred: 12,"[68, 64, 76, 52, 48]","[0.3401110392573743, 0.33969331362362665, 0.3387842984711883, 0.32170693297606967, 0.3214983755057205]","Mission: 8.0/2.0, Risktol: 2.0/4.0 - Non-Counterfactual","Mission: 8.0/2.0, Denial: 7.0/2.0, Risktol: 7.0/4.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/4.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Denial: 8.0/2.0, Risktol: 2.0/4.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 3.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/4.0 - Non-Counterfactual"
73,9,[ 9  9 11 10 11],Case: 69 / Pred: 9,Case: 65 / Pred: 9,Case: 74 / Pred: 11,Case: 75 / Pred: 10,Case: 66 / Pred: 11,"[69, 65, 74, 75, 66]","[0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.33898222101264736, 0.3387842984711883]","Mission: 6.0/3.0, Denial: 3.0/6.0, Risktol: 7.0/6.0 - Non-Counterfactual","Mission: 2.0/3.0, Denial: 3.0/6.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Mission: 8.0/3.0, Denial: 8.0/6.0, Timeurg: 8.0/3.0 - Counterfactual","Denial: 4.0/6.0, Risktol: 2.0/6.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 2.0/3.0, Denial: 2.0/6.0, Risktol: 3.0/6.0, Timeurg: 8.0/3.0 - Counterfactual"
74,11,[10 10 11 10  9],Case: 67 / Pred: 10,Case: 79 / Pred: 10,Case: 66 / Pred: 11,Case: 75 / Pred: 10,Case: 77 / Pred: 9,"[67, 79, 66, 75, 77]","[0.3403081901700035, 0.3401110392573743, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665]",Risktol: 8.0/6.0 - Counterfactual,"Mission: 7.0/8.0, Risktol: 8.0/6.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/8.0, Risktol: 3.0/6.0 - Non-Counterfactual","Mission: 3.0/8.0, Denial: 4.0/8.0, Risktol: 2.0/6.0 - Counterfactual","Mission: 0.0/8.0, Denial: 4.0/8.0, Risktol: 4.0/6.0 - Counterfactual"
75,10,[ 9 11 11 10 11],Case: 77 / Pred: 9,Case: 78 / Pred: 11,Case: 66 / Pred: 11,Case: 67 / Pred: 10,Case: 74 / Pred: 11,"[77, 78, 66, 67, 74]","[0.3401110392573743, 0.3399004544545376, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665]","Mission: 0.0/3.0, Risktol: 4.0/2.0 - Counterfactual","Mission: 0.0/3.0, Timeurg: 4.0/8.0 - Counterfactual","Mission: 2.0/3.0, Denial: 2.0/4.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 8.0/3.0, Denial: 8.0/4.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 8.0/3.0, Denial: 8.0/4.0, Risktol: 6.0/2.0 - Counterfactual"
76,12,[12 12 12 12 12],Case: 64 / Pred: 12,Case: 68 / Pred: 12,Case: 72 / Pred: 12,Case: 60 / Pred: 12,Case: 56 / Pred: 12,"[64, 68, 72, 60, 56]","[0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.32288212829553664, 0.32267433040234744]","Mission: 8.0/0.0, Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/0.0, Denial: 2.0/8.0, Risktol: 2.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 2.0/8.0, Risktol: 4.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 3.0/0.0 - Non-Counterfactual"
77,9,[10 11 10 11 10],Case: 75 / Pred: 10,Case: 66 / Pred: 11,Case: 67 / Pred: 10,Case: 74 / Pred: 11,Case: 79 / Pred: 10,"[75, 66, 67, 74, 79]","[0.3401110392573743, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665]","Mission: 3.0/0.0, Risktol: 2.0/4.0 - Counterfactual","Mission: 2.0/0.0, Denial: 2.0/4.0, Risktol: 3.0/4.0 - Counterfactual","Mission: 8.0/0.0, Denial: 8.0/4.0, Risktol: 8.0/4.0 - Counterfactual","Mission: 8.0/0.0, Denial: 8.0/4.0, Risktol: 6.0/4.0 - Counterfactual","Mission: 7.0/0.0, Denial: 8.0/4.0, Risktol: 8.0/4.0 - Counterfactual"
78,11,[10 10  9  9 11],Case: 75 / Pred: 10,Case: 71 / Pred: 10,Case: 77 / Pred: 9,Case: 65 / Pred: 9,Case: 66 / Pred: 11,"[75, 71, 77, 65, 66]","[0.3399004544545376, 0.3394824697009694, 0.33940082184166687, 0.3387842984711883, 0.3387842984711883]","Mission: 3.0/0.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 8.0/0.0, Denial: 2.0/4.0, Timeurg: 2.0/4.0 - Counterfactual","Risktol: 4.0/2.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 2.0/0.0, Denial: 3.0/4.0, Risktol: 6.0/2.0, Timeurg: 7.0/4.0 - Counterfactual","Mission: 2.0/0.0, Denial: 2.0/4.0, Risktol: 3.0/2.0, Timeurg: 8.0/4.0 - Non-Counterfactual"
79,10,[10 11 11 11 10],Case: 67 / Pred: 10,Case: 74 / Pred: 11,Case: 70 / Pred: 11,Case: 66 / Pred: 11,Case: 75 / Pred: 10,"[67, 74, 70, 66, 75]","[0.34080649255609197, 0.3401110392573743, 0.3399004544545376, 0.33969331362362665, 0.33969331362362665]",Mission: 8.0/7.0 - Non-Counterfactual,"Mission: 8.0/7.0, Risktol: 6.0/8.0 - Counterfactual","Mission: 4.0/7.0, Timeurg: 7.0/8.0 - Counterfactual","Mission: 2.0/7.0, Denial: 2.0/8.0, Risktol: 3.0/8.0 - Counterfactual","Mission: 3.0/7.0, Denial: 4.0/8.0, Risktol: 2.0/8.0 - Non-Counterfactual"
80,8,[8 8 8 8 8],Case: 84 / Pred: 8,Case: 88 / Pred: 8,Case: 92 / Pred: 8,Case: 91 / Pred: 8,Case: 89 / Pred: 8,"[84, 88, 92, 91, 89]","[0.3405866100367219, 0.3403081901700035, 0.33940082184166687, 0.3354999467532664, 0.3347934705572828]",Denial: 8.0/2.0 - Non-Counterfactual,Risktol: 3.0/8.0 - Non-Counterfactual,"Risktol: 7.0/8.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 40.0/22.0, Rank: 0.0/1.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 3.0/1.0, Mission: 6.0/2.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 7.0/2.0, Risktol: 4.0/8.0 - Non-Counterfactual"
81,8,[8 8 8 8 8],Case: 85 / Pred: 8,Case: 89 / Pred: 8,Case: 93 / Pred: 8,Case: 87 / Pred: 8,Case: 86 / Pred: 8,"[85, 89, 93, 87, 86]","[0.3410032413928608, 0.33898222101264736, 0.3387842984711883, 0.3350764727152788, 0.3347934705572828]", - Non-Counterfactual,"Denial: 2.0/7.0, Risktol: 4.0/7.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 4.0/7.0, Denial: 2.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Mission: 8.0/7.0, Denial: 3.0/7.0 - Non-Counterfactual","Age: 36.0/25.0, Location: 0.0/1.0, Mission: 8.0/7.0, Risktol: 3.0/7.0 - Non-Counterfactual"
82,8,[8 8 8 8 8],Case: 86 / Pred: 8,Case: 90 / Pred: 8,Case: 94 / Pred: 8,Case: 84 / Pred: 8,Case: 87 / Pred: 8,"[86, 90, 94, 84, 87]","[0.33989070683478784, 0.33989070683478784, 0.33898222101264736, 0.33457953888643605, 0.33456963624290637]","Denial: 7.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual","Denial: 2.0/8.0, Risktol: 6.0/8.0 - Non-Counterfactual","Denial: 2.0/8.0, Risktol: 3.0/8.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Age: 22.0/36.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/0.0, Mission: 2.0/8.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Denial: 3.0/8.0, Risktol: 7.0/8.0 - Non-Counterfactual"
83,7,[8 8 8 8 8],Case: 87 / Pred: 8,Case: 91 / Pred: 8,Case: 95 / Pred: 8,Case: 81 / Pred: 8,Case: 85 / Pred: 8,"[87, 91, 95, 81, 85]","[0.3394824697009694, 0.3387842984711883, 0.3387842984711883, 0.33415489841887486, 0.33415489841887486]","Mission: 8.0/3.0, Denial: 3.0/8.0, Timeurg: 3.0/8.0 - Counterfactual","Mission: 6.0/3.0, Denial: 2.0/8.0, Risktol: 8.0/7.0, Timeurg: 2.0/8.0 - Counterfactual","Mission: 4.0/3.0, Denial: 2.0/8.0, Risktol: 2.0/7.0, Timeurg: 4.0/8.0 - Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 7.0/3.0, Denial: 7.0/8.0, Timeurg: 3.0/8.0 - Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 7.0/3.0, Denial: 7.0/8.0, Timeurg: 3.0/8.0 - Counterfactual"
84,8,[8 8 8 8 8],Case: 80 / Pred: 8,Case: 88 / Pred: 8,Case: 92 / Pred: 8,Case: 91 / Pred: 8,Case: 82 / Pred: 8,"[80, 88, 92, 91, 82]","[0.3405866100367219, 0.33989070683478784, 0.33898222101264736, 0.3350764727152788, 0.33457953888643605]",Denial: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual","Denial: 2.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 40.0/22.0, Rank: 0.0/1.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 3.0/1.0, Mission: 6.0/2.0, Denial: 2.0/8.0 - Non-Counterfactual","Age: 36.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 0.0/1.0, Mission: 8.0/2.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
85,8,[8 8 8 8 8],Case: 81 / Pred: 8,Case: 89 / Pred: 8,Case: 93 / Pred: 8,Case: 87 / Pred: 8,Case: 86 / Pred: 8,"[81, 89, 93, 87, 86]","[0.3410032413928608, 0.33898222101264736, 0.3387842984711883, 0.3350764727152788, 0.3347934705572828]", - Non-Counterfactual,"Denial: 2.0/7.0, Risktol: 4.0/7.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 4.0/7.0, Denial: 2.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Mission: 8.0/7.0, Denial: 3.0/7.0 - Non-Counterfactual","Age: 36.0/25.0, Location: 0.0/1.0, Mission: 8.0/7.0, Risktol: 3.0/7.0 - Non-Counterfactual"
86,8,[8 8 8 8 8],Case: 82 / Pred: 8,Case: 90 / Pred: 8,Case: 94 / Pred: 8,Case: 81 / Pred: 8,Case: 85 / Pred: 8,"[82, 90, 94, 81, 85]","[0.33989070683478784, 0.33989070683478784, 0.3396799854367662, 0.3347934705572828, 0.3347934705572828]","Denial: 8.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual","Denial: 2.0/7.0, Risktol: 6.0/3.0 - Non-Counterfactual","Denial: 2.0/7.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Age: 25.0/36.0, Location: 1.0/0.0, Mission: 7.0/8.0, Risktol: 7.0/3.0 - Non-Counterfactual","Age: 25.0/36.0, Location: 1.0/0.0, Mission: 7.0/8.0, Risktol: 7.0/3.0 - Non-Counterfactual"
87,8,[7 8 8 8 8],Case: 83 / Pred: 7,Case: 91 / Pred: 8,Case: 95 / Pred: 8,Case: 81 / Pred: 8,Case: 85 / Pred: 8,"[83, 91, 95, 81, 85]","[0.3394824697009694, 0.3387842984711883, 0.3387842984711883, 0.3350764727152788, 0.3350764727152788]","Mission: 3.0/8.0, Denial: 8.0/3.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 6.0/8.0, Denial: 2.0/3.0, Risktol: 8.0/7.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 2.0/3.0, Risktol: 2.0/7.0, Timeurg: 4.0/3.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 7.0/8.0, Denial: 7.0/3.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 7.0/8.0, Denial: 7.0/3.0 - Non-Counterfactual"
88,8,[8 8 8 8 8],Case: 80 / Pred: 8,Case: 84 / Pred: 8,Case: 92 / Pred: 8,Case: 89 / Pred: 8,Case: 91 / Pred: 8,"[80, 84, 92, 89, 91]","[0.3403081901700035, 0.33989070683478784, 0.33940082184166687, 0.3347934705572828, 0.3347934705572828]",Risktol: 8.0/3.0 - Non-Counterfactual,"Denial: 8.0/2.0, Risktol: 8.0/3.0 - Non-Counterfactual","Risktol: 7.0/3.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 7.0/2.0, Risktol: 4.0/3.0 - Non-Counterfactual","Age: 40.0/22.0, Rank: 0.0/1.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 3.0/1.0, Mission: 6.0/2.0, Risktol: 8.0/3.0 - Non-Counterfactual"
89,8,[8 8 8 8 8],Case: 93 / Pred: 8,Case: 81 / Pred: 8,Case: 85 / Pred: 8,Case: 80 / Pred: 8,Case: 88 / Pred: 8,"[93, 81, 85, 80, 88]","[0.33920314355080317, 0.33898222101264736, 0.33898222101264736, 0.3347934705572828, 0.3347934705572828]","Mission: 4.0/7.0, Risktol: 6.0/4.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Denial: 7.0/2.0, Risktol: 7.0/4.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Denial: 7.0/2.0, Risktol: 7.0/4.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/7.0, Risktol: 8.0/4.0 - Non-Counterfactual","Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/7.0, Risktol: 3.0/4.0 - Non-Counterfactual"
90,8,[8 8 8 8 8],Case: 82 / Pred: 8,Case: 86 / Pred: 8,Case: 94 / Pred: 8,Case: 93 / Pred: 8,Case: 87 / Pred: 8,"[82, 86, 94, 93, 87]","[0.33989070683478784, 0.33989070683478784, 0.33940082184166687, 0.33457953888643605, 0.33456963624290637]","Denial: 8.0/2.0, Risktol: 8.0/6.0 - Non-Counterfactual","Denial: 7.0/2.0, Risktol: 3.0/6.0 - Non-Counterfactual","Risktol: 3.0/6.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Age: 25.0/36.0, Location: 1.0/0.0, Mission: 4.0/8.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Denial: 3.0/2.0, Risktol: 7.0/6.0 - Non-Counterfactual"
91,8,[8 7 8 8 8],Case: 95 / Pred: 8,Case: 83 / Pred: 7,Case: 87 / Pred: 8,Case: 80 / Pred: 8,Case: 84 / Pred: 8,"[95, 83, 87, 80, 84]","[0.33920314355080317, 0.3387842984711883, 0.3387842984711883, 0.3354999467532664, 0.3350764727152788]","Mission: 4.0/6.0, Risktol: 2.0/8.0, Timeurg: 4.0/2.0 - Non-Counterfactual","Mission: 3.0/6.0, Denial: 8.0/2.0, Risktol: 7.0/8.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 8.0/6.0, Denial: 3.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Age: 22.0/40.0, Rank: 1.0/0.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/3.0, Mission: 2.0/6.0 - Non-Counterfactual","Age: 22.0/40.0, Rank: 1.0/0.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/3.0, Mission: 2.0/6.0, Denial: 8.0/2.0 - Non-Counterfactual"
92,8,[8 8 8 8 8],Case: 80 / Pred: 8,Case: 88 / Pred: 8,Case: 84 / Pred: 8,Case: 94 / Pred: 8,Case: 81 / Pred: 8,"[80, 88, 84, 94, 81]","[0.33940082184166687, 0.33940082184166687, 0.33898222101264736, 0.3347934705572828, 0.33415489841887486]","Risktol: 8.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Risktol: 3.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Age: 36.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 0.0/1.0, Mission: 8.0/2.0, Risktol: 3.0/7.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 7.0/2.0, Denial: 7.0/2.0, Timeurg: 3.0/7.0 - Non-Counterfactual"
93,8,[8 8 8 8 8],Case: 89 / Pred: 8,Case: 81 / Pred: 8,Case: 85 / Pred: 8,Case: 90 / Pred: 8,Case: 95 / Pred: 8,"[89, 81, 85, 90, 95]","[0.33920314355080317, 0.3387842984711883, 0.3387842984711883, 0.33457953888643605, 0.33407194849292254]","Mission: 7.0/4.0, Risktol: 4.0/6.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 7.0/4.0, Denial: 7.0/2.0, Risktol: 7.0/6.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Mission: 7.0/4.0, Denial: 7.0/2.0, Risktol: 7.0/6.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Age: 36.0/25.0, Location: 0.0/1.0, Mission: 8.0/4.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Risktol: 2.0/6.0, Timeurg: 4.0/6.0 - Non-Counterfactual"
94,8,[8 8 8 8 8],Case: 86 / Pred: 8,Case: 90 / Pred: 8,Case: 82 / Pred: 8,Case: 92 / Pred: 8,Case: 88 / Pred: 8,"[86, 90, 82, 92, 88]","[0.3396799854367662, 0.33940082184166687, 0.33898222101264736, 0.3347934705572828, 0.33457953888643605]","Denial: 7.0/2.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Risktol: 6.0/3.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/3.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Age: 22.0/36.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/0.0, Mission: 2.0/8.0, Risktol: 7.0/3.0 - Non-Counterfactual","Age: 22.0/36.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/0.0, Mission: 2.0/8.0, Timeurg: 2.0/7.0 - Non-Counterfactual"
95,8,[8 7 8 8 8],Case: 91 / Pred: 8,Case: 83 / Pred: 7,Case: 87 / Pred: 8,Case: 93 / Pred: 8,Case: 80 / Pred: 8,"[91, 83, 87, 93, 80]","[0.33920314355080317, 0.3387842984711883, 0.3387842984711883, 0.33407194849292254, 0.33387111509953327]","Mission: 6.0/4.0, Risktol: 8.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Mission: 3.0/4.0, Denial: 8.0/2.0, Risktol: 7.0/2.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 8.0/4.0, Denial: 3.0/2.0, Risktol: 7.0/2.0, Timeurg: 3.0/4.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Risktol: 6.0/2.0, Timeurg: 6.0/4.0 - Non-Counterfactual","Age: 22.0/40.0, Rank: 1.0/0.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/3.0, Mission: 2.0/4.0, Risktol: 8.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual"
96,8,[8 8 8 8 8],Case: 100 / Pred: 8,Case: 104 / Pred: 8,Case: 108 / Pred: 8,Case: 99 / Pred: 8,Case: 111 / Pred: 8,"[100, 104, 108, 99, 111]","[0.3405866100367219, 0.3403081901700035, 0.33940082184166687, 0.3352762364260449, 0.3347931223911839]",Denial: 8.0/2.0 - Non-Counterfactual,Risktol: 3.0/8.0 - Non-Counterfactual,"Risktol: 7.0/8.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 26.0/22.0, Injury Type: 0.0/1.0, Severity: 1.0/0.5, Location: 2.0/1.0, Denial: 3.0/2.0 - Non-Counterfactual","Age: 26.0/22.0, Injury Type: 0.0/1.0, Severity: 1.0/0.5, Location: 2.0/1.0, Mission: 4.0/2.0, Risktol: 3.0/8.0 - Non-Counterfactual"
