Index,Actual Outcome,Predicted,Sim#1,Sim#2,Sim#3,Sim#4,Sim#5,Similar_Index,Distance,Diff#1,Diff#2,Diff#3,Diff#4,Diff#5
[219],4,[ 4 10 10 10 10],Sample: 211 / Pred: 4,Sample: 209 / Pred: 10,Sample: 280 / Pred: 10,Sample: 217 / Pred: 10,Sample: 222 / Pred: 10,"[211, 209, 280, 217, 222]","[2.45, 2.65, 3.16, 3.16, 3.16]","Mission: 6.0/8.0, Denial: 2.0/3.0, Risktol: 3.0/2.0","Mission: 6.0/8.0, Denial: 2.0/3.0, Risktol: 3.0/2.0, Timeurg: 2.0/3.0","Type: 1.0/3.0, Prompt: 8.0/10.0, Risktol: 3.0/2.0, Timeurg: 2.0/3.0","Mission: 7.0/8.0, Timeurg: 6.0/3.0","Mission: 6.0/8.0, Denial: 4.0/3.0, Risktol: 4.0/2.0, Timeurg: 4.0/3.0"
[220],10,[10 10 10 10  4],Sample: 214 / Pred: 10,Sample: 222 / Pred: 10,Sample: 216 / Pred: 10,Sample: 221 / Pred: 10,Sample: 215 / Pred: 4,"[214, 222, 216, 221, 215]","[2.24, 3.0, 3.0, 3.0, 3.74]","Denial: 3.0/4.0, Timeurg: 6.0/4.0",Mission: 6.0/3.0,"Denial: 3.0/4.0, Risktol: 2.0/4.0, Timeurg: 2.0/4.0",Mission: 6.0/3.0,"Denial: 2.0/4.0, Risktol: 7.0/4.0, Timeurg: 3.0/4.0"
[221],10,[10  4 10 10  4],Sample: 222 / Pred: 10,Sample: 211 / Pred: 4,Sample: 220 / Pred: 10,Sample: 209 / Pred: 10,Sample: 219 / Pred: 4,"[222, 211, 220, 209, 219]","[0.0, 2.45, 3.0, 3.0, 3.16]",,"Denial: 2.0/4.0, Risktol: 3.0/4.0, Timeurg: 3.0/4.0",Mission: 3.0/6.0,"Denial: 2.0/4.0, Risktol: 3.0/4.0, Timeurg: 2.0/4.0","Mission: 8.0/6.0, Denial: 3.0/4.0, Risktol: 2.0/4.0, Timeurg: 3.0/4.0"
[222],10,[10  4 10 10  4],Sample: 221 / Pred: 10,Sample: 211 / Pred: 4,Sample: 220 / Pred: 10,Sample: 209 / Pred: 10,Sample: 219 / Pred: 4,"[221, 211, 220, 209, 219]","[0.0, 2.45, 3.0, 3.0, 3.16]",,"Denial: 2.0/4.0, Risktol: 3.0/4.0, Timeurg: 3.0/4.0",Mission: 3.0/6.0,"Denial: 2.0/4.0, Risktol: 3.0/4.0, Timeurg: 2.0/4.0","Mission: 8.0/6.0, Denial: 3.0/4.0, Risktol: 2.0/4.0, Timeurg: 3.0/4.0"
[223],4,[10 10  5 10  5],Sample: 216 / Pred: 10,Sample: 220 / Pred: 10,Sample: 207 / Pred: 5,Sample: 206 / Pred: 10,Sample: 203 / Pred: 5,"[216, 220, 207, 206, 203]","[3.16, 3.87, 4.25, 4.37, 4.37]","Mission: 3.0/0.0, Risktol: 2.0/3.0","Mission: 3.0/0.0, Denial: 4.0/3.0, Risktol: 4.0/3.0, Timeurg: 4.0/2.0","Prompt: 9.0/10.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/0.0, Denial: 2.0/3.0, Risktol: 2.0/3.0","Prompt: 9.0/10.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/0.0, Denial: 2.0/3.0, Risktol: 4.0/3.0, Timeurg: 3.0/2.0","Prompt: 9.0/10.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/0.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 3.0/2.0"
[224],10,[10 10 10 10  3],Sample: 228 / Pred: 10,Sample: 236 / Pred: 10,Sample: 229 / Pred: 10,Sample: 240 / Pred: 10,Sample: 231 / Pred: 3,"[228, 236, 229, 240, 231]","[1.0, 1.0, 3.16, 5.29, 5.29]",Denial: 7.0/8.0,Risktol: 7.0/8.0,"Mission: 3.0/2.0, Denial: 6.0/8.0, Risktol: 6.0/8.0, Timeurg: 7.0/8.0","Prompt: 12.0/11.0, Name: 4.0/3.0, Age: 40.0/36.0, Rank: 1.0/2.0, Location: 4.0/1.0","Mission: 7.0/2.0, Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0"
[225],10,[10  3  3 10 10],Sample: 226 / Pred: 10,Sample: 239 / Pred: 3,Sample: 227 / Pred: 3,Sample: 237 / Pred: 10,Sample: 156 / Pred: 10,"[226, 239, 227, 237, 156]","[1.73, 2.0, 2.45, 3.61, 5.1]","Mission: 7.0/8.0, Denial: 3.0/2.0, Timeurg: 3.0/2.0",Timeurg: 4.0/2.0,"Mission: 7.0/8.0, Risktol: 4.0/2.0, Timeurg: 3.0/2.0","Mission: 6.0/8.0, Denial: 3.0/2.0, Risktol: 0.0/2.0, Timeurg: 4.0/2.0","Prompt: 16.0/11.0, Denial: 3.0/2.0"
[226],10,[10  3  3 10 10],Sample: 225 / Pred: 10,Sample: 239 / Pred: 3,Sample: 227 / Pred: 3,Sample: 237 / Pred: 10,Sample: 157 / Pred: 10,"[225, 239, 227, 237, 157]","[1.73, 1.73, 2.24, 2.45, 5.1]","Mission: 8.0/7.0, Denial: 2.0/3.0, Timeurg: 2.0/3.0","Mission: 8.0/7.0, Denial: 2.0/3.0, Timeurg: 4.0/3.0","Denial: 2.0/3.0, Risktol: 4.0/2.0","Mission: 6.0/7.0, Risktol: 0.0/2.0, Timeurg: 4.0/3.0","Prompt: 16.0/11.0, Risktol: 3.0/2.0"
[227],3,[10  3 10 10 10],Sample: 226 / Pred: 10,Sample: 239 / Pred: 3,Sample: 225 / Pred: 10,Sample: 237 / Pred: 10,Sample: 234 / Pred: 10,"[226, 239, 225, 237, 234]","[2.24, 2.45, 2.45, 4.36, 4.36]","Denial: 3.0/2.0, Risktol: 2.0/4.0","Mission: 8.0/7.0, Risktol: 2.0/4.0, Timeurg: 4.0/3.0","Mission: 8.0/7.0, Risktol: 2.0/4.0, Timeurg: 2.0/3.0","Mission: 6.0/7.0, Denial: 3.0/2.0, Risktol: 0.0/4.0, Timeurg: 4.0/3.0","Denial: 3.0/2.0, Risktol: 7.0/4.0, Timeurg: 6.0/3.0"
[228],10,[10 10 10  3 10],Sample: 224 / Pred: 10,Sample: 236 / Pred: 10,Sample: 229 / Pred: 10,Sample: 231 / Pred: 3,Sample: 240 / Pred: 10,"[224, 236, 229, 231, 240]","[1.0, 1.41, 2.65, 5.2, 5.39]",Denial: 8.0/7.0,"Denial: 8.0/7.0, Risktol: 7.0/8.0","Mission: 3.0/2.0, Denial: 6.0/7.0, Risktol: 6.0/8.0, Timeurg: 7.0/8.0","Mission: 7.0/2.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0","Prompt: 12.0/11.0, Name: 4.0/3.0, Age: 40.0/36.0, Rank: 1.0/2.0, Location: 4.0/1.0, Denial: 8.0/7.0"
[229],10,[10 10 10  3 10],Sample: 236 / Pred: 10,Sample: 228 / Pred: 10,Sample: 224 / Pred: 10,Sample: 231 / Pred: 3,Sample: 233 / Pred: 10,"[236, 228, 224, 231, 233]","[2.65, 2.65, 3.16, 4.24, 5.2]","Mission: 2.0/3.0, Denial: 8.0/6.0, Risktol: 7.0/6.0, Timeurg: 8.0/7.0","Mission: 2.0/3.0, Denial: 7.0/6.0, Risktol: 8.0/6.0, Timeurg: 8.0/7.0","Mission: 2.0/3.0, Denial: 8.0/6.0, Risktol: 8.0/6.0, Timeurg: 8.0/7.0","Mission: 7.0/3.0, Denial: 7.0/6.0, Risktol: 7.0/6.0","Mission: 7.0/3.0, Denial: 3.0/6.0, Risktol: 7.0/6.0, Timeurg: 6.0/7.0"
[230],10,[10 10 10 10 10],Sample: 232 / Pred: 10,Sample: 238 / Pred: 10,Sample: 281 / Pred: 10,Sample: 226 / Pred: 10,Sample: 237 / Pred: 10,"[232, 238, 281, 226, 237]","[1.41, 2.65, 4.69, 5.1, 5.1]","Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Mission: 0.0/2.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Type: 1.0/3.0, Prompt: 8.0/11.0, Timeurg: 6.0/3.0","Mission: 7.0/2.0, Risktol: 2.0/3.0","Mission: 6.0/2.0, Risktol: 0.0/3.0, Timeurg: 4.0/3.0"
[231],3,[10 10 10  3 10],Sample: 234 / Pred: 10,Sample: 233 / Pred: 10,Sample: 229 / Pred: 10,Sample: 235 / Pred: 3,Sample: 236 / Pred: 10,"[234, 233, 229, 235, 236]","[4.12, 4.12, 4.24, 4.36, 5.2]","Denial: 3.0/7.0, Timeurg: 6.0/7.0","Denial: 3.0/7.0, Timeurg: 6.0/7.0","Mission: 3.0/7.0, Denial: 6.0/7.0, Risktol: 6.0/7.0","Mission: 8.0/7.0, Denial: 3.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/7.0","Mission: 2.0/7.0, Denial: 8.0/7.0, Timeurg: 8.0/7.0"
[232],10,[10 10 10 10  4],Sample: 230 / Pred: 10,Sample: 238 / Pred: 10,Sample: 237 / Pred: 10,Sample: 226 / Pred: 10,Sample: 147 / Pred: 4,"[230, 238, 237, 226, 147]","[1.41, 2.24, 4.9, 5.1, 5.2]","Risktol: 3.0/2.0, Timeurg: 3.0/2.0","Mission: 0.0/2.0, Denial: 2.0/3.0","Mission: 6.0/2.0, Risktol: 0.0/2.0, Timeurg: 4.0/2.0","Mission: 7.0/2.0, Timeurg: 3.0/2.0","Prompt: 16.0/11.0, Denial: 2.0/3.0, Risktol: 3.0/2.0"
[233],10,[10  3  3  3 10],Sample: 234 / Pred: 10,Sample: 235 / Pred: 3,Sample: 231 / Pred: 3,Sample: 227 / Pred: 3,Sample: 229 / Pred: 10,"[234, 235, 231, 227, 229]","[0.0, 2.45, 4.12, 4.36, 5.2]",,"Mission: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/6.0","Denial: 7.0/3.0, Timeurg: 7.0/6.0","Denial: 2.0/3.0, Risktol: 4.0/7.0, Timeurg: 3.0/6.0","Mission: 3.0/7.0, Denial: 6.0/3.0, Risktol: 6.0/7.0, Timeurg: 7.0/6.0"
[234],10,[10  3  3  3 10],Sample: 233 / Pred: 10,Sample: 235 / Pred: 3,Sample: 231 / Pred: 3,Sample: 227 / Pred: 3,Sample: 229 / Pred: 10,"[233, 235, 231, 227, 229]","[0.0, 2.45, 4.12, 4.36, 5.2]",,"Mission: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/6.0","Denial: 7.0/3.0, Timeurg: 7.0/6.0","Denial: 2.0/3.0, Risktol: 4.0/7.0, Timeurg: 3.0/6.0","Mission: 3.0/7.0, Denial: 6.0/3.0, Risktol: 6.0/7.0, Timeurg: 7.0/6.0"
[235],3,[10 10  3 10 10],Sample: 233 / Pred: 10,Sample: 234 / Pred: 10,Sample: 231 / Pred: 3,Sample: 146 / Pred: 10,Sample: 154 / Pred: 10,"[233, 234, 231, 146, 154]","[2.45, 2.45, 4.36, 5.57, 5.57]","Mission: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/8.0","Mission: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/8.0","Mission: 7.0/8.0, Denial: 7.0/3.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0","Prompt: 16.0/11.0, Mission: 7.0/8.0, Denial: 2.0/3.0, Risktol: 6.0/8.0","Prompt: 16.0/11.0, Mission: 6.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0"
[236],10,[10 10 10  3 10],Sample: 224 / Pred: 10,Sample: 228 / Pred: 10,Sample: 229 / Pred: 10,Sample: 231 / Pred: 3,Sample: 240 / Pred: 10,"[224, 228, 229, 231, 240]","[1.0, 1.41, 2.65, 5.2, 5.39]",Risktol: 8.0/7.0,"Denial: 7.0/8.0, Risktol: 8.0/7.0","Mission: 3.0/2.0, Denial: 6.0/8.0, Risktol: 6.0/7.0, Timeurg: 7.0/8.0","Mission: 7.0/2.0, Denial: 7.0/8.0, Timeurg: 7.0/8.0","Prompt: 12.0/11.0, Name: 4.0/3.0, Age: 40.0/36.0, Rank: 1.0/2.0, Location: 4.0/1.0, Risktol: 8.0/7.0"
[237],10,[10  3 10  3 10],Sample: 226 / Pred: 10,Sample: 239 / Pred: 3,Sample: 225 / Pred: 10,Sample: 227 / Pred: 3,Sample: 232 / Pred: 10,"[226, 239, 225, 227, 232]","[2.45, 3.0, 3.61, 4.36, 4.9]","Mission: 7.0/6.0, Risktol: 2.0/0.0, Timeurg: 3.0/4.0","Mission: 8.0/6.0, Denial: 2.0/3.0, Risktol: 2.0/0.0","Mission: 8.0/6.0, Denial: 2.0/3.0, Risktol: 2.0/0.0, Timeurg: 2.0/4.0","Mission: 7.0/6.0, Denial: 2.0/3.0, Risktol: 4.0/0.0, Timeurg: 3.0/4.0","Mission: 2.0/6.0, Risktol: 2.0/0.0, Timeurg: 2.0/4.0"
[238],10,[10 10 10  4 10],Sample: 232 / Pred: 10,Sample: 230 / Pred: 10,Sample: 158 / Pred: 10,Sample: 147 / Pred: 4,Sample: 145 / Pred: 10,"[232, 230, 158, 147, 145]","[2.24, 2.65, 5.0, 5.48, 5.48]","Mission: 2.0/0.0, Denial: 3.0/2.0","Mission: 2.0/0.0, Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0",Prompt: 16.0/11.0,"Prompt: 16.0/11.0, Mission: 2.0/0.0, Risktol: 3.0/2.0","Prompt: 16.0/11.0, Mission: 2.0/0.0, Risktol: 3.0/2.0"
[239],3,[10 10  3 10 10],Sample: 226 / Pred: 10,Sample: 225 / Pred: 10,Sample: 227 / Pred: 3,Sample: 237 / Pred: 10,Sample: 285 / Pred: 10,"[226, 225, 227, 237, 285]","[1.73, 2.0, 2.45, 3.0, 4.8]","Mission: 7.0/8.0, Denial: 3.0/2.0, Timeurg: 3.0/4.0",Timeurg: 2.0/4.0,"Mission: 7.0/8.0, Risktol: 4.0/2.0, Timeurg: 3.0/4.0","Mission: 6.0/8.0, Denial: 3.0/2.0, Risktol: 0.0/2.0","Type: 1.0/3.0, Prompt: 8.0/11.0, Risktol: 3.0/2.0, Timeurg: 7.0/4.0"
[240],10,[ 6 10 10 10 10],Sample: 247 / Pred: 6,Sample: 252 / Pred: 10,Sample: 224 / Pred: 10,Sample: 228 / Pred: 10,Sample: 236 / Pred: 10,"[247, 252, 224, 228, 236]","[4.24, 5.0, 5.29, 5.39, 5.39]","Mission: 6.0/2.0, Denial: 7.0/8.0, Risktol: 7.0/8.0",Mission: 7.0/2.0,"Prompt: 11.0/12.0, Name: 3.0/4.0, Age: 36.0/40.0, Rank: 2.0/1.0, Location: 1.0/4.0","Prompt: 11.0/12.0, Name: 3.0/4.0, Age: 36.0/40.0, Rank: 2.0/1.0, Location: 1.0/4.0, Denial: 7.0/8.0","Prompt: 11.0/12.0, Name: 3.0/4.0, Age: 36.0/40.0, Rank: 2.0/1.0, Location: 1.0/4.0, Risktol: 7.0/8.0"
[241],10,[10 10 10 10 10],Sample: 242 / Pred: 10,Sample: 249 / Pred: 10,Sample: 250 / Pred: 10,Sample: 254 / Pred: 10,Sample: 278 / Pred: 10,"[242, 249, 250, 254, 278]","[0.0, 1.73, 2.24, 4.58, 4.69]",,"Mission: 3.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/8.0","Denial: 3.0/2.0, Risktol: 6.0/8.0","Mission: 0.0/2.0, Risktol: 4.0/8.0, Timeurg: 3.0/2.0","Type: 1.0/3.0, Prompt: 8.0/12.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0"
[242],10,[10 10 10 10 10],Sample: 241 / Pred: 10,Sample: 249 / Pred: 10,Sample: 250 / Pred: 10,Sample: 254 / Pred: 10,Sample: 278 / Pred: 10,"[241, 249, 250, 254, 278]","[0.0, 1.73, 2.24, 4.58, 4.69]",,"Mission: 3.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/8.0","Denial: 3.0/2.0, Risktol: 6.0/8.0","Mission: 0.0/2.0, Risktol: 4.0/8.0, Timeurg: 3.0/2.0","Type: 1.0/3.0, Prompt: 8.0/12.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0"
[243],6,[ 1 10  6 10 10],Sample: 163 / Pred: 1,Sample: 245 / Pred: 10,Sample: 255 / Pred: 6,Sample: 244 / Pred: 10,Sample: 169 / Pred: 10,"[163, 245, 255, 244, 169]","[5.0, 5.2, 5.39, 6.08, 6.48]",Prompt: 17.0/12.0,"Denial: 7.0/2.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Mission: 4.0/7.0, Risktol: 4.0/2.0, Timeurg: 4.0/8.0","Mission: 8.0/7.0, Denial: 8.0/2.0","Prompt: 17.0/12.0, Mission: 3.0/7.0, Denial: 3.0/2.0"
[244],10,[10 10  6  6 10],Sample: 245 / Pred: 10,Sample: 98 / Pred: 10,Sample: 247 / Pred: 6,Sample: 243 / Pred: 6,Sample: 252 / Pred: 10,"[245, 98, 247, 243, 252]","[2.0, 5.39, 5.48, 6.08, 6.08]","Mission: 7.0/8.0, Denial: 7.0/8.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Type: 1.0/3.0, Prompt: 7.0/12.0","Mission: 6.0/8.0, Denial: 7.0/8.0, Risktol: 7.0/2.0","Mission: 7.0/8.0, Denial: 2.0/8.0","Mission: 7.0/8.0, Risktol: 8.0/2.0"
[245],10,[10  6 10  6 10],Sample: 244 / Pred: 10,Sample: 247 / Pred: 6,Sample: 246 / Pred: 10,Sample: 243 / Pred: 6,Sample: 252 / Pred: 10,"[244, 247, 246, 243, 252]","[2.0, 4.24, 5.1, 5.2, 5.2]","Mission: 8.0/7.0, Denial: 8.0/7.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Mission: 6.0/7.0, Risktol: 7.0/3.0, Timeurg: 8.0/7.0","Mission: 4.0/7.0, Risktol: 2.0/3.0, Timeurg: 3.0/7.0","Denial: 2.0/7.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Denial: 8.0/7.0, Risktol: 8.0/3.0, Timeurg: 8.0/7.0"
[246],10,[10  6 10 10 10],Sample: 245 / Pred: 10,Sample: 255 / Pred: 6,Sample: 248 / Pred: 10,Sample: 102 / Pred: 10,Sample: 253 / Pred: 10,"[245, 255, 248, 102, 253]","[5.1, 5.48, 5.48, 5.66, 6.0]","Mission: 7.0/4.0, Risktol: 3.0/2.0, Timeurg: 7.0/3.0","Denial: 2.0/7.0, Risktol: 4.0/2.0, Timeurg: 4.0/3.0","Mission: 2.0/4.0, Denial: 2.0/7.0, Timeurg: 2.0/3.0","Type: 1.0/3.0, Prompt: 7.0/12.0, Mission: 3.0/4.0, Denial: 8.0/7.0, Risktol: 3.0/2.0","Mission: 6.0/4.0, Denial: 3.0/7.0, Risktol: 6.0/2.0"
[247],6,[10 10 10 10 10],Sample: 252 / Pred: 10,Sample: 240 / Pred: 10,Sample: 245 / Pred: 10,Sample: 282 / Pred: 10,Sample: 244 / Pred: 10,"[252, 240, 245, 282, 244]","[1.73, 4.24, 4.24, 5.2, 5.48]","Mission: 7.0/6.0, Denial: 8.0/7.0, Risktol: 8.0/7.0","Mission: 2.0/6.0, Denial: 8.0/7.0, Risktol: 8.0/7.0","Mission: 7.0/6.0, Risktol: 3.0/7.0, Timeurg: 7.0/8.0","Type: 1.0/3.0, Prompt: 8.0/12.0, Mission: 8.0/6.0, Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 7.0/8.0","Mission: 8.0/6.0, Denial: 8.0/7.0, Risktol: 2.0/7.0"
[248],10,[10  6 10 10 10],Sample: 254 / Pred: 10,Sample: 255 / Pred: 6,Sample: 250 / Pred: 10,Sample: 249 / Pred: 10,Sample: 286 / Pred: 10,"[254, 255, 250, 249, 286]","[3.0, 3.46, 4.12, 5.2, 5.29]","Mission: 0.0/2.0, Risktol: 4.0/2.0, Timeurg: 3.0/2.0","Mission: 4.0/2.0, Risktol: 4.0/2.0, Timeurg: 4.0/2.0","Denial: 3.0/2.0, Risktol: 6.0/2.0","Mission: 3.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/2.0","Type: 1.0/3.0, Prompt: 8.0/12.0, Mission: 4.0/2.0, Timeurg: 4.0/2.0"
[249],10,[10 10 10 10  6],Sample: 250 / Pred: 10,Sample: 241 / Pred: 10,Sample: 242 / Pred: 10,Sample: 253 / Pred: 10,Sample: 255 / Pred: 6,"[250, 241, 242, 253, 255]","[1.41, 1.73, 1.73, 3.32, 3.87]","Mission: 2.0/3.0, Risktol: 6.0/7.0","Mission: 2.0/3.0, Denial: 2.0/3.0, Risktol: 8.0/7.0","Mission: 2.0/3.0, Denial: 2.0/3.0, Risktol: 8.0/7.0","Mission: 6.0/3.0, Risktol: 6.0/7.0, Timeurg: 3.0/2.0","Mission: 4.0/3.0, Denial: 2.0/3.0, Risktol: 4.0/7.0, Timeurg: 4.0/2.0"
[250],10,[10 10 10 10  6],Sample: 249 / Pred: 10,Sample: 242 / Pred: 10,Sample: 241 / Pred: 10,Sample: 254 / Pred: 10,Sample: 255 / Pred: 6,"[249, 242, 241, 254, 255]","[1.41, 2.24, 2.24, 3.16, 3.61]","Mission: 3.0/2.0, Risktol: 7.0/6.0","Denial: 2.0/3.0, Risktol: 8.0/6.0","Denial: 2.0/3.0, Risktol: 8.0/6.0","Mission: 0.0/2.0, Denial: 2.0/3.0, Risktol: 4.0/6.0, Timeurg: 3.0/2.0","Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 4.0/6.0, Timeurg: 4.0/2.0"
[251],6,[10 10  6 10 10],Sample: 166 / Pred: 10,Sample: 168 / Pred: 10,Sample: 255 / Pred: 6,Sample: 170 / Pred: 10,Sample: 165 / Pred: 10,"[166, 168, 255, 170, 165]","[5.29, 5.57, 5.74, 5.83, 5.83]","Prompt: 17.0/12.0, Mission: 2.0/3.0, Denial: 3.0/2.0, Risktol: 7.0/8.0","Prompt: 17.0/12.0, Mission: 4.0/3.0, Denial: 3.0/2.0, Risktol: 6.0/8.0","Mission: 4.0/3.0, Risktol: 4.0/8.0, Timeurg: 4.0/8.0","Prompt: 17.0/12.0, Mission: 2.0/3.0, Risktol: 6.0/8.0, Timeurg: 6.0/8.0","Prompt: 17.0/12.0, Denial: 3.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/8.0"
[252],10,[ 6 10 10 10  1],Sample: 247 / Pred: 6,Sample: 282 / Pred: 10,Sample: 240 / Pred: 10,Sample: 245 / Pred: 10,Sample: 171 / Pred: 1,"[247, 282, 240, 245, 171]","[1.73, 4.69, 5.0, 5.2, 5.29]","Mission: 6.0/7.0, Denial: 7.0/8.0, Risktol: 7.0/8.0","Type: 1.0/3.0, Prompt: 8.0/12.0, Mission: 8.0/7.0, Timeurg: 7.0/8.0",Mission: 2.0/7.0,"Denial: 7.0/8.0, Risktol: 3.0/8.0, Timeurg: 7.0/8.0","Prompt: 17.0/12.0, Mission: 8.0/7.0, Denial: 7.0/8.0, Timeurg: 7.0/8.0"
[253],10,[ 6 10 10 10 10],Sample: 255 / Pred: 6,Sample: 249 / Pred: 10,Sample: 250 / Pred: 10,Sample: 241 / Pred: 10,Sample: 242 / Pred: 10,"[255, 249, 250, 241, 242]","[3.16, 3.32, 4.12, 4.69, 4.69]","Mission: 4.0/6.0, Denial: 2.0/3.0, Risktol: 4.0/6.0, Timeurg: 4.0/3.0","Mission: 3.0/6.0, Risktol: 7.0/6.0, Timeurg: 2.0/3.0","Mission: 2.0/6.0, Timeurg: 2.0/3.0","Mission: 2.0/6.0, Denial: 2.0/3.0, Risktol: 8.0/6.0, Timeurg: 2.0/3.0","Mission: 2.0/6.0, Denial: 2.0/3.0, Risktol: 8.0/6.0, Timeurg: 2.0/3.0"
[254],10,[10 10  6 10 10],Sample: 248 / Pred: 10,Sample: 250 / Pred: 10,Sample: 255 / Pred: 6,Sample: 249 / Pred: 10,Sample: 242 / Pred: 10,"[248, 250, 255, 249, 242]","[3.0, 3.16, 4.12, 4.47, 4.58]","Mission: 2.0/0.0, Risktol: 2.0/4.0, Timeurg: 2.0/3.0","Mission: 2.0/0.0, Denial: 3.0/2.0, Risktol: 6.0/4.0, Timeurg: 2.0/3.0","Mission: 4.0/0.0, Timeurg: 4.0/3.0","Mission: 3.0/0.0, Denial: 3.0/2.0, Risktol: 7.0/4.0, Timeurg: 2.0/3.0","Mission: 2.0/0.0, Risktol: 8.0/4.0, Timeurg: 2.0/3.0"
[255],6,[10 10 10 10 10],Sample: 253 / Pred: 10,Sample: 248 / Pred: 10,Sample: 250 / Pred: 10,Sample: 249 / Pred: 10,Sample: 254 / Pred: 10,"[253, 248, 250, 249, 254]","[3.16, 3.46, 3.61, 3.87, 4.12]","Mission: 6.0/4.0, Denial: 3.0/2.0, Risktol: 6.0/4.0, Timeurg: 3.0/4.0","Mission: 2.0/4.0, Risktol: 2.0/4.0, Timeurg: 2.0/4.0","Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 6.0/4.0, Timeurg: 2.0/4.0","Mission: 3.0/4.0, Denial: 3.0/2.0, Risktol: 7.0/4.0, Timeurg: 2.0/4.0","Mission: 0.0/4.0, Timeurg: 3.0/4.0"
[256],10,[10  8 10 10 10],Sample: 261 / Pred: 10,Sample: 263 / Pred: 8,Sample: 268 / Pred: 10,Sample: 212 / Pred: 10,Sample: 213 / Pred: 10,"[261, 263, 268, 212, 213]","[2.83, 4.12, 5.0, 5.53, 5.88]","Denial: 6.0/8.0, Timeurg: 6.0/8.0","Denial: 7.0/8.0, Timeurg: 4.0/8.0",Risktol: 8.0/3.0,"Prompt: 10.0/13.0, Name: 2.0/5.0, Age: 25.0/26.0, Injury Type: 3.0/0.0, Severity: 0.25/1.0, Location: 2.0/3.0, Risktol: 2.0/3.0","Prompt: 10.0/13.0, Name: 2.0/5.0, Age: 25.0/26.0, Injury Type: 3.0/0.0, Severity: 0.25/1.0, Location: 2.0/3.0, Denial: 6.0/8.0, Timeurg: 7.0/8.0"
[257],10,[10 10 10 10  8],Sample: 264 / Pred: 10,Sample: 258 / Pred: 10,Sample: 265 / Pred: 10,Sample: 270 / Pred: 10,Sample: 271 / Pred: 8,"[264, 258, 265, 270, 271]","[0.0, 1.0, 2.0, 2.83, 3.46]",,Timeurg: 3.0/2.0,Timeurg: 4.0/2.0,"Mission: 0.0/2.0, Risktol: 4.0/2.0","Mission: 4.0/2.0, Risktol: 4.0/2.0, Timeurg: 4.0/2.0"
[258],10,[10 10 10 10  8],Sample: 264 / Pred: 10,Sample: 265 / Pred: 10,Sample: 257 / Pred: 10,Sample: 270 / Pred: 10,Sample: 271 / Pred: 8,"[264, 265, 257, 270, 271]","[1.0, 1.0, 1.0, 3.0, 3.0]",Timeurg: 2.0/3.0,Timeurg: 4.0/3.0,Timeurg: 2.0/3.0,"Mission: 0.0/2.0, Risktol: 4.0/2.0, Timeurg: 2.0/3.0","Mission: 4.0/2.0, Risktol: 4.0/2.0, Timeurg: 4.0/3.0"
